external_member_id,first_name,last_name,date_of_birth,sex_at_birth,phone,email,city,state,zip_code,country
M-100001,Michelle,Edwards,1956-07-22,male,+1-555-6556,michelle.edwards1@example.com,New York,NY,10001,United_States
M-100002,Janet,Hall,1948-08-03,female,+1-555-2131,janet.hall2@example.com,Bridgeport,CT,06604,United_States
M-100003,Sharon,Evans,1972-08-22,female,+1-555-3839,sharon.evans3@example.com,Mountain View,CA,94041,United_States
M-100004,Michael,Rodriguez,1969-04-30,female,+1-555-5060,michael.rodriguez4@example.com,Albuquerque,NM,87101,United_States
M-100005,Donna,Castillo,1994-05-24,female,+1-555-6452,donna.castillo5@example.com,Saco,ME,04072,United_States
M-100006,Rachel,Murphy,1978-05-22,female,+1-555-9883,rachel.murphy6@example.com,Boise,ID,83701,United_States
M-100007,Austin,Thompson,1998-10-17,female,+1-555-2947,austin.thompson7@example.com,Nashville,TN,37201,United_States
M-100008,Taylor,Murphy,2001-07-07,female,+1-555-9069,taylor.murphy8@example.com,Stamford,CT,06901,United_States
M-100009,Rachel,Clark,1967-09-11,male,+1-555-9058,rachel.clark9@example.com,Norwalk,CT,06850,United_States
M-100010,Jacob,Robinson,1970-02-04,female,+1-555-8216,jacob.robinson10@example.com,Buffalo,NY,14201,United_States
M-100011,Brian,Anderson,1982-05-28,female,+1-555-9951,brian.anderson11@example.com,Portland,OR,97201,United_States
M-100012,Susan,Brooks,1964-07-09,male,+1-555-8664,susan.brooks12@example.com,Norwalk,CT,06850,United_States
M-100013,Carolyn,Reed,1986-01-29,male,+1-555-8293,carolyn.reed13@example.com,Milwaukee,WI,53201,United_States
M-100014,David,Howard,1976-01-25,female,+1-555-4845,david.howard14@example.com,San Francisco,CA,94102,United_States
M-100015,Lisa,Diaz,1981-05-13,male,+1-555-7625,lisa.diaz15@example.com,Denver,CO,80201,United_States
M-100016,Eric,Scott,1978-04-09,female,+1-555-9115,eric.scott16@example.com,Reno,NV,89501,United_States
M-100017,Rachel,Murphy,1972-09-13,female,+1-555-2465,rachel.murphy17@example.com,Barre,VT,05641,United_States
M-100018,Emily,Perez,2008-03-10,male,+1-555-7180,emily.perez18@example.com,Chicago,IL,60601,United_States
M-100019,Nancy,Allen,1979-04-14,female,+1-555-1657,nancy.allen19@example.com,Portland,ME,04101,United_States
M-100020,Sarah,Hall,1955-05-03,male,+1-555-6122,sarah.hall20@example.com,Boston,MA,02108,United_States
M-100021,Donna,Flores,1984-09-06,female,+1-555-8143,donna.flores21@example.com,Memphis,TN,37501,United_States
M-100022,John,Garcia,1981-04-09,female,+1-555-4104,john.garcia22@example.com,Minneapolis,MN,55401,United_States
M-100023,Andrew,Wright,1961-03-16,female,+1-555-8333,andrew.wright23@example.com,Corvallis,OR,97330,United_States
M-100024,Robert,Patel,1992-02-04,female,+1-555-2388,robert.patel24@example.com,Saco,ME,04072,United_States
M-100025,David,Jackson,1973-08-26,female,+1-555-5728,david.jackson25@example.com,Medford,OR,97501,United_States
M-100026,Adam,Carter,1981-05-23,male,+1-555-5961,adam.carter26@example.com,Memphis,TN,37501,United_States
M-100027,Alex,Lopez,1956-03-20,female,+1-555-7707,alex.lopez27@example.com,Santa Fe,NM,87501,United_States
M-100028,Eric,Adams,1995-04-01,male,+1-555-1392,eric.adams28@example.com,Lexington,KY,40502,United_States
M-100029,Dorothy,Lopez,1995-01-24,female,+1-555-7223,dorothy.lopez29@example.com,Portland,ME,04101,United_States
M-100030,Adam,Anderson,1955-07-17,male,+1-555-5463,adam.anderson30@example.com,Ann Arbor,MI,48104,United_States
M-100031,Patrick,Gray,1954-02-13,female,+1-555-4236,patrick.gray31@example.com,West Hartford,CT,06107,United_States
M-100032,Michael,Anderson,2006-04-11,male,+1-555-3772,michael.anderson32@example.com,Atlanta,GA,30301,United_States
M-100033,Margaret,Taylor,1959-10-24,female,+1-555-6250,margaret.taylor33@example.com,Chapel Hill,NC,27514,United_States
M-100034,Steven,Gonzalez,1995-01-20,male,+1-555-6582,steven.gonzalez34@example.com,Austin,TX,73301,United_States
